german,english
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,Has
hier,here
haben,to have
fur,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,your
nein,no
habe,have
an,on
bin,am
noch,still
nur,only 
da,there
dir,to you
sich,themselves
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,Good
auch,also
schon,nice
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,my
um,around
im,in the
wird,will
mein,my
bist,are you
doch,yet
alles,All
weiss,White
keine,none
oder,or
nach,after
s,S
nichts,nothing
man,one
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
konnen,can
wieder,again
sagen,say
machen,make
danke,thank you
sehr,very
alle,Everyone